Code,Course,Credits
AEE 204N,Science Literacy and Policy in the 21st Century,3
AERSP 55,Space Science and Technology,3
AFR 105,African Biodiversity and Conservation,3
AG 180N,"Contemporary Issues in Food, Ag, Natural Resources, and Human Sciences",3
AGECO 121,Plant Stress: Its Not Easy Being Green,3
AGECO 121H,Plant Stress: Its Not Easy Being Green,3
AGECO 122,Atmospheric Environment: Growing in the Wind,3
AGECO 134N,Sustainable Agriculture Science and Policy,3
AGECO 144,Principles and Practices of Organic Agriculture,3
ANSC 100,Introduction to Animal Industries,3
ANSC 107,Introduction to Equine Science and the Equine Industry,3
ANSC 300,Integrated Animal Biology,3
ANSC 332N,Science and policy of global greenhouse gas emissions and management,3
ANSC 447,Equine Exercise Physiology,3
ANTH 21,Introductory Biological Anthropology,3
ANTH 22,Humans as Primates,3
ANTH 40Q,Biocultural Evolution,3
ANTH 100N,Anthropology of Race and Racism,3
ANTH 129N,Chocolate Worlds,3
ANTH 150N,Human Nature: The Science of Extreme Altruism and Violence,3
ANTH 150Q,Human Nature: The Science of Extreme Altruism and Violence,3
ANTH 210N,"Anthropology, Ancestry, and You",3
ANTH 215,"Skin: Evolution, Biology and Culture",3
ANTH 216N,Sex and Evolution,3
ANTH 218,"Genes, Evolution and Behavior",4
ANTH 219N,Spillover: The Anthropology of Emerging Infectious Diseases,3
ANTH 240N,Livelihoods and Ecosystems: Anthropological Approaches to Human-Environment Interaction,3
ANTH 260,Building the Human Animal,3
ANTH 375Q,Anthropology of Food Honors,3
ARCH 170N,Introduction to Sustainable Architecture,3
ART 51N,Meteorology and Visual Arts: To Know is to See,3
ART 160N,"STEAM: Connecting Art to Science, Technology, Engineering and Mathematics",3
ART 170N,Plant and Microbial Art,3
ARTH 107N,"Rocks, Minerals, and the History of Art",3
ASTRO 1,Astronomical Universe,3
ASTRO 1H,Astronomical Universe,3
ASTRO 5,The Sky and Planets,3
ASTRO 6,"Stars, Galaxies, and the Universe",3
ASTRO 7N,The Artistic Universe,3
ASTRO 10,Elementary Astronomy,2
ASTRO 11,Elementary Astronomy Laboratory,1
ASTRO 19N,Being in the Universe,3
ASTRO 120,The Big Bang Universe,3
ASTRO 130,Black Holes in the Universe,3
ASTRO 140,Life in the Universe,3
ASTRO 141N,Film and Extraterrestrial Life: Science Fact or Fiction?,3
ASTRO 291,Astronomical Methods and the Solar System,3
ASTRO 292,Astronomy of the Distant Universe,3
ASTRO 320,Observational Astronomy Laboratory,3
BIOL 11,Introductory Biology I,3
BIOL 12,Introductory Biology II,1
BIOL 110,Biology: Basic Concepts and Biodiversity,4
BIOL 110H,Honors Biology: Basic Concepts and Biodiversity,4
BIOL 110S,Biology: Basic Concepts and Biodiversity,4
BIOL 127,Introduction to Plant Biology,3
BIOL 129,Mammalian Anatomy,4
BIOL 133,Genetics and Evolution of the Human Species,3
BIOL 141,Introduction to Human Physiology,3
BIOL 144,Climate Change: Biological Impacts,3
BIOL 144Z,Climate Change: Biological Impacts - Linked,3
