AA 100,Introduction to International Arts,3
AA 103,Introduction to Interior Design,3
AA 120N,Introduction to Art Therapy,3
AA 121,Design Thinking and Creativity,3
AA 122,Introduction to Graphic Storytelling,3
AA 130N,Creative Arts Therapy Applications,3
AA 160N,The Virtual Transformational Leadership Development Experience,3
AA 193N,The Craft of Comics,3
AED 62,Contemporary African and African American Arts and Culture,3
AED 211,Interpreting Art Experience: Social and Behavioral Perspectives,3
AED 225,"Diversity, Pedagogy, and Visual Culture",3
AED 355Q,Show Me Where it Hurts: Healthcare and Creative Inquiry,3
AFAM 126N,The Popular Arts in America: The History of Hip-Hop,3
AFAM 207N,Jazz and the African American Experience,3
AFAM 208,Workshop: Theatre in Diverse Cultures,3
AFAM 226N,Critical Approaches to Hip-Hop,3
AFR 335,African Art,3
AMST 150N,"Western Pennsylvania Art, Literature, and Culture",3
AMST 226N,Critical Approaches to Hip-Hop,3
AMST 307N,American Art and Society,3
AMST 308N,American Architecture,3
AMST 309N,American Material Culture,3
ANTH 220,Anthropology and Art/ifacts,3
ARCH 100,Architecture and Ideas,3
ARCH 170N,Introduction to Sustainable Architecture,3
ARCH 210,Ideas Across Time in Architecture and Urbanism,3
ARCH 211,Contemporary Design and Planning Theories II,3
ARCH 316,Analysis of Human Settlements: Cities,3
ART 1,Introduction to the Visual Arts,3
ART 2,Interactive Learning and Web-Design,3
ART 3,Visual Images on the Web,3
ART 10,Introduction to Visual Studies,3
ART 17,Introduction to Metal Arts,3
ART 20,Introduction to Drawing,3
ART 30,Introduction to Sculpture,3
ART 40,Introduction to Printmaking,3
ART 50,Introduction to Painting,3
ART 51N,Meteorology and Visual Arts: To Know is to See,3
ART 80,Introduction to Ceramics,3
ART 100,Concepts and Creation in the Visual Arts,3
ART 101,Introduction to Web Design,3
ART 102,Beginning Computer Aided Design for Artists,3
ART 144Z,"Climate Change: Arts, Agency and Activism",3
ART 160N,"STEAM: Connecting Art to Science, Technology, Engineering and Mathematics",3
ART 165,Artistic Concepts of Space,3
ART 166,Artistic Concepts of Form,3
ART 168,The Digital Medium,3
ART 170N,Plant and Microbial Art,3
ART 175N,Intersections Between Art and Psychology,3
ART 207N,"LGBTQ+ Identity, Culture and The Arts",3
ARTH 1S,First-Year Seminar in Art History,3
ARTH 100,Introduction to Art,3
ARTH 105N,Pictures and Power,3
ARTH 107N,"Rocks, Minerals, and the History of Art",3
ARTH 111,Ancient to Medieval Art,3
ARTH 111U,Ancient to Medieval Art,3
ARTH 111Z,Ancient to Medieval Art Z,3
ARTH 112,Renaissance to Modern Art,3
ARTH 112U,Renaissance to Modern Art,3
ARTH 115N,Arts of Love,3
ARTH 120,Asian Art and Architecture,3
ARTH 120Z,Asian Art and Architecture -LINKED,3
ARTH 125,Islamic Architecture and Art,3
ARTH 130,"Art of Africa, Oceania, and the Americas",3
ARTH 140,"Introduction to the Art and Architecture of the Mayas, Aztecs, and Incas",3
ARTH 201,Ancient to Medieval Architecture,3
ARTH 202N,Renaissance to Modern Architecture,3
ARTH 204,The Art of Marvel: Italy and Spain 1600 - 1750,3
ARTH 207,The Eternal City: Rome from Antiquity to the Present,3
ARTH 215,Architecture and Art of South and Southeast Asia,3
ARTH 220,Chinese Art,3
ARTH 220Z,Chinese Art - Linked,3
ARTH 222N,Intersections between Art History and the History of Psychology,3
ARTH 222Q,Intersections between Art History and the History of Psychology,3
ARTH 224N,Authors and Artists,3
ARTH 225N,Sexuality and Modern Visual Culture,3
ARTH 226,The Comic Book: A History of Sequential Art,3
ARTH 280,The Secret Lives of Things: Design and Decorative Arts since the 18th Century,3
ARTH 292N,Witches and Witchcraft from the Middle Ages to the Present,3
ARTH 301,Egyptian and Mesopotamian Art,3
ARTH 302,Early Medieval Art,3
ARTH 303,Italian Renaissance Art,3
ARTH 305,Romanticism and Revolution,3
ARTH 306,"Color across Cultures: A Global History of Pigments, Dyes, Metals and Other Colorants in Art",3
ARTH 307N,American Art and Society,3
ARTH 308N,American Architecture,3
ARTH 311,Greek and Roman Art,3
ARTH 312,Romanesque and Gothic Art,3
ARTH 313,Northern Renaissance Art,3
ARTH 314,Art in the Age of Rembrandt,3
ARTH 325,Impressionism to Surrealism,3
ARTH 326,Art Since 1940,3
ARTH 335,African Art,3
ASIA 215,Architecture and Art of South and Southeast Asia,3
ASTRO 7N,The Artistic Universe,3
ASTRO 141N,Film and Extraterrestrial Life: Science Fact or Fiction?,3
BBH 201N,Health and the Media,3
BRASS 100,Trumpet: Secondary,1
BRASS 101,French Horn: Secondary,1
BRASS 102,Trombone: Secondary,1
BRASS 103,Euphonium: Secondary,1
BRASS 104,Tuba: Secondary,1
BRASS 110,Trumpet: Secondary,2
BRASS 111,French Horn: Secondary,2
BRASS 112,Trombone: Secondary,2
BRASS 113,Euphonium: Secondary,2
BRASS 114,Tuba: Secondary,2
CHNS 121N,Chinese Film and New Media,3
CI 105N,"Improv Theater, Curriculum & Instruction",3
CMLIT 112N,"Introduction to Global Drama, Theatre, and Performance",3
CMLIT 128N,The Holocaust in Film and Literature,3
CMLIT 191N,Introduction to Video Game Culture,3
CMLIT 240Q,Artistic Patronage in Europe,3
COMM 20N,Critical Media Literacy,3
COMM 101N,Understanding and Enhancing Creativity,3
COMM 150N,The Art of the Cinema,3
COMM 150Q,The Art of the Cinema,3
COMM 151N,Film and Extraterrestrial Life: Science Fact or Fiction?,3
COMM 175N,Mental Illness and the Movies,3
COMM 208N,Visual Representations of the Middle East in the US and Middle East,3
COMM 222N,Social Justice and the Image,3
COMM 235N,Introduction to Public Humanities,3
COMM 250,Film History and Theory,3
COMM 290N,Cinema and Globalization,3
DANCE 100,Dance Appreciation,3
DANCE 225,Introduction to Hip Hop,1.5
DANCE 230,Ballet,1.5
DANCE 240,Jazz Dance,1.5
DANCE 250,Tap Dance,1.5
DANCE 260,Introduction to Modern Dance,1.5
DANCE 261,Beginning Modern Dance I,1.5
DANCE 361,Intermediate Modern Dance I,1.5
DANCE 362,Intermediate Modern Dance II,1.5
DART 102N,Introduction to 2d Digital Art and Technology,3
ENGL 50,Introduction to Creative Writing,3
ENGL 50H,Introduction to Creative Writing,3
ENGL 115N,Arts of Love,3
ENGL 128N,The Holocaust in Film and Literature,3
ENGL 190Q,Medievalism,3
ENGL 193N,The Craft of Comics,3
ENGL 197Z,Special Topics - Linked Course,3
ENGL 208N,The Music of the Beatles and American Popular Culture,3
ENGL 212,Introduction to Fiction Writing,3
ENGL 213,Introduction to Poetry Writing,3
ENGL 214,Introduction to Creative Nonfiction Writing,3
ENGL 223N,"Shakespeare: Page, Stage, and Screen",3
ENGL 224N,Authors and Artists,3
ENGL 225N,Sexuality and Modern Visual Culture,3
ENGL 237N,Reading and Writing Documentary Poetry,3
ENGL 260,Theory & Practice of Screenwriting,3
ENGR 120N,Design Thinking and 3D Printing in Engineering and Healthcare,3
FR 138N,French Culture Through Film,3
FRNAR 100,Introduction to Forensic Photography,3
FRNAR 100Z,Introduction to Forensic Photography,3
GAME 160N,Introduction to Video Game Culture,3
GAME 180N,The Art and Science of Virtual Worlds,3
GAME 220,Introduction to Game Design,3
GD 100,Introduction to Graphic Design,3
GD 115N,Visualizing Information,3
GEOSC 107N,"Rocks, Minerals, and the History of Art",3
GER 128N,The Holocaust in Film and Literature,3
GER 189N,German Film,3
HDFS 175N,Introduction to Youth Development and Arts-based Social Justice,3
HIST 131N,"Slavery, the Civil War, and Cinema",3
HIST 240Q,Artistic Patronage in Europe,3
HIST 255N,History of the Book,3
HIST 292N,Witches and Witchcraft from the Middle Ages to the Present,3
HORT 169N,"Fundamentals of Home Landscaping: An Introduction to Design, Construction, and Maintenance",3
HUM 100N,Foundations in the Humanities: Understanding the Human Experience,3
HUM 150N,World Mythologies in the Arts,3
HUM 200N,Explorations in the Humanities: The Quest,3
HUM 300N,Interpretations in the Humanities,3
HUM 311N,The Western Tradition I,3
HUM 400N,Expressions in the Humanities,3
INART 1,The Arts,3
INART 3,Reception of the Arts,3
INART 5,Performing Arts,3
INART 10,The Popular Arts in America: Mass Media Arts,3
INART 15,The Popular Arts in America: Performing Arts,3
INART 55N,History of Electronic Music,3
INART 100,Seminar in Integrative Arts,3
INART 100W,Seminar in Integrative Arts,3
INART 110,The Dramatic Arts in the Mass Media,3
INART 115,The Popular Arts in America: Popular Music,3
INART 116,The Popular Arts in America: The History of Rock and Roll-The 1950s,3
INART 125,The Popular Arts in America: The History of Rock and Roll - Punk Rock,3
INART 126N,The Popular Arts in America: The History of Hip-Hop,3
INART 197Q,Special Topics - InterDomain,3
INART 200,The Popular Arts in America: Elvis Presley - The King of Rock and Roll,3
INART 203Q,Medievalism,3
INART 205,Introducing the Beatles,3
INART 205H,Introducing the Beatles,3
INART 210,Integrative Approaches to Computer-Aided Music Composition,3
INART 220,Stand-Up Comedy: A Cultural History,3
INART 226N,Critical Approaches to Hip-Hop,3
INART 236,Integrating Music and Animation with Technology,3
INART 258A,Fundamentals of Digital Audio,3
INART 258B,Fundamentals of Digital Audio,1
IST 130,Emerging Technologies in Popular Culture,3
IT 240Q,Artistic Patronage in Europe,3
JAPNS 121N,Japanese Film and New Media,3
JST 128N,The Holocaust in Film and Literature,3
KEYBD 100,Piano: Secondary,1
KEYBD 101,Organ: Secondary,1
KEYBD 110,Piano: Secondary,2
KEYBD 111,Organ: Secondary,2
KINES 405N,Bicycling Culture and Urban Design,3
LA 235N,Introduction to Public Humanities,3
LARCH 60,Cultural History of Designed Places,3
LARCH 60H,History of Landscape Architecture,3
LARCH 65,Built Environment and Culture: Examining the Modern City,3
LARCH 405N,Bicycling Culture and Urban Design,3
LDT 110N,Making with Art and Learning Technologies,3
LHR 160N,The Virtual Transformational Leadership Development Experience,3
LLED 215N,Children's Picture Books as Multimodal Texts,3
METEO 51N,Meteorology and Visual Arts: To Know is to See,3
MUSIC 4,Film Music,3
MUSIC 5,An Introduction to Western Music,3
MUSIC 7,Evolution of Jazz,3
MUSIC 8,Rudiments of Music,3
MUSIC 8H,Rudiments of Music,3
MUSIC 9,Introduction to World Musics,3
MUSIC 11,Under the Hood: How Classical Music Works,3
MUSIC 11Z,Under the Hood: How Classical Music Works,3
MUSIC 50,Beginning Piano: Non-Music Major,1
MUSIC 51,Intermediate Class Piano: Non-Music Major,1
MUSIC 52,Voice Class: Non-Music Major,1
MUSIC 53,Class Voice Practicum,1
MUSIC 54,Beginning Class Guitar: Non-Music Major,1
MUSIC 77,Philharmonic Orchestra,1
MUSIC 78,Symphonic Wind Ensemble,1
MUSIC 79,Pep Band,1
MUSIC 80,Symphonic Band,1
MUSIC 81,Marching Blue Band,1
MUSIC 82,Concert Band,1
MUSIC 83,Campus Band,1
MUSIC 84,Jazz Ensemble,1
MUSIC 86,Percussion Ensemble,1
MUSIC 88,Campus Choir,1
MUSIC 88H,Campus Choir,1
MUSIC 89,University Choir,1
MUSIC 90,Glee Club,1
MUSIC 91,Oriana Singers,1
MUSIC 92,Chamber Music for Voices,1
MUSIC 93,Essence of Joy,1
MUSIC 94,Women's Chorale,1
MUSIC 100,Campus Orchestra,1
MUSIC 103,Concert Choir,1
MUSIC 104,Chamber Singers,1
MUSIC 106,Early Music Ensemble,1
MUSIC 109,The Music of the Beatles,3
MUSIC 189,Studio Ensemble,1
MUSIC 190,Chamber Music for Strings,1
MUSIC 191,Chamber Music for Woodwinds,1
MUSIC 192,Chamber Music for Brass,1
MUSIC 207N,Jazz and the African American Experience,3
MUSIC 209N,The Music of the Beatles and American Popular Culture,3
MUSIC 215,The Craft of Singing,3
MUSIC 261,Survey of Music History I,3
MUSIC 262,Survey of Music History II,3
PERCN 100,Percussion: Secondary,1
PERCN 110,Percussion: Secondary,2
PHIL 136N,Art and Philosophy in Ancient Greece,3
PHOTO 100,Introduction to Photography,3
PHOTO 101,Culture of Photography,3
PHOTO 202,Fundamentals of Professional Photography,3
PHOTO 321N,Flow Visualization: The Art and Physics of Fluid Motion,3
PPEM 170N,Plant and Microbial Art,3
PSYCH 109N,The Psychology of Artistic Creativity,3
PSYCH 175N,Mental Illness and the Movies,3
PSYCH 246N,Human Factors in Design & Art,3
PSYCH 297C,Special Topics - InterDomain,3
RUS 101N,Russian Cinema,3
SC 60N,Art in the Natural World,3
SC 103N,When Data Meets Design,3
SC 145N,The Visual Body,3
SC 197Q,Special Topics - InterDomain,3
SOC 20N,Critical Media Literacy,3
SOC 208N,Visual Representations of the Middle East in the US and Middle East,3
SOC 290N,Cinema and Globalization,3
SOC 297C,Special Topics - InterDomain,3
SPAN 269N,Theater and Performance,3
STRNG 100,Violin: Secondary,1
