AA 120N,Introduction to Art Therapy,3
AA 160N,The Virtual Transformational Leadership Development Experience,3
AAS 100N,Introduction to Asian American Studies,3
ADTED 300,Social Movements and Education: Global Perspectives,3
AED 355Q,Show Me Where it Hurts: Healthcare and Creative Inquiry,3
AEE 201,Interpersonal Skills for Tomorrow's Leaders,3
AEE 204N,Science Literacy and Policy in the 21st Century,3
AFAM S97I,Special Topics - InterDomain,3
AFAM 100N,Black Freedom Struggles,3
AFAM 101N,African American Women,3
AFAM 105N,Afro-Latin America: Race and Revolution,3
AFAM 110N,Introduction to African American Studies,3
AFAM 111N,Introduction to Anti-Black racism in the United States: The African American Experience,3
AFAM 114N,"Race, Gender and Sport",3
AFAM 136,"Race, Gender, and Employment",3
AFAM 136Y,"Race, Gender, and Employment",3
AFAM 207N,Jazz and the African American Experience,3
AFAM 303,Race and Gender in the Americas: Latin American and Caribbean Cultures,3
AFAM 364N,Black & White Sexuality,3
AFAM 435N,Black Ecologies,3
AFR 110N,Introduction to Contemporary Africa,3
AFR 202N,"Women, Gender, and Feminisms in Africa",3
AFR 205,Development and Sustainability in Africa,3
AFR 209,Poverty in Africa,3
AFR 230N,Language and Social Justice,3
AFR 234,"Environment, Climate Change and Resilience in Africa",3
AFR 435N,Black Ecologies,3
AGBM 101,Economic Principles of Agribusiness Decision Making,3
AGBM 170,Investigating the U.S. Food System: How food moves from field to table,3
AGBM 170Z,Investigating the U.S. Food System: How food moves from field to table -LINKED,3
AGECO 134N,Sustainable Agriculture Science and Policy,3
AIR 252,The Evolution of USAF Air and Space Power II,2
AIR 451,"National Security, Leadership Responsibilities, and Commissioning Preparation I",3
AMST 106N,The Mass Media and Society,3
AMST 151N,Technology and Society in American History,3
AMST 160N,Introduction to Asian American Studies,3
AMST 161N,"Chinese in America, Americans in China",3
AMST 170N,Introduction to American Folklore,3
ANSC 215,Pets in Society,3
ANSC 332N,Science and policy of global greenhouse gas emissions and management,3
ANTH 1,Understanding Humans,3
ANTH 2N,World Archaeology,3
ANTH 8,"Aztec, Inca, Maya",3
ANTH 9N,Rise of Civilization in the Old World,3
ANTH 11,North American Archaeology,3
ANTH 40Q,Biocultural Evolution,3
ANTH 45N,Cultural Diversity: A Global Perspective,3
ANTH 45Q,Cultural Diversity: A Global Perspective,3
ANTH 60N,Society and Cultures in Modern Israel,3
ANTH 83S,First-Year Seminar in Anthropology,3
ANTH 100N,Anthropology of Race and Racism,3
ANTH 120,First Farmers,3
ANTH 140,Anthropology of Alcohol,3
ANTH 146,Indigenous North America,3
ANTH 150N,Human Nature: The Science of Extreme Altruism and Violence,3
ANTH 150Q,Human Nature: The Science of Extreme Altruism and Violence,3
ANTH 176,Sex and Gender: A biosocial and comparative perspective,3
ANTH 210N,"Anthropology, Ancestry, and You",3
ANTH 216N,Sex and Evolution,3
ANTH 219N,Spillover: The Anthropology of Emerging Infectious Diseases,3
ANTH 221N,Ancient Maya: Sacred Blood & Conjured Serpent,3
ANTH 222,Archaeology of Domesticated Animals,3
ANTH 223N,European Prehistory,3
ANTH 240N,Livelihoods and Ecosystems: Anthropological Approaches to Human-Environment Interaction,3
ANTH 303,Race and Gender in the Americas: Latin American and Caribbean Cultures,3
ANTH 375Q,Anthropology of Food Honors,3
ANTH 430,Ancient Brews,3
ANTH 434N,Black Ecologies,3
APLNG 83,First-Year Seminar in Applied Linguistics: Language as Social Practice,3
APLNG 220N,Multilingual Lives: Stories of Language and Culture Learning,3
APLNG 230N,Language and Social Justice,3
APLNG 260,LANGUAGE AND TECHNOLOGY,3
APLNG 280N,Conducting International Comparative Research,3
ART 175N,Intersections Between Art and Psychology,3
ART 207N,"LGBTQ+ Identity, Culture and The Arts",3
ARTH 105N,Pictures and Power,3
ARTH 222N,Intersections between Art History and the History of Psychology,3
ARTH 222Q,Intersections between Art History and the History of Psychology,3
ASIA 101N,Sports in Asia,3
AYFCE 211N,Foundations: Civic and Community Engagement,3
AYFCE 211S,Foundations: Civic and Community Engagement,3
AYFCE 270,Consumer and Financial Skills,3
BA 100,Introduction to Business,3
BA 100S,Introduction to Business,3
BBH 150N,Safe and Sound: The Intersection of Criminal Justice and Public Health,3
BBH 201N,Health and the Media,3
BIOET 110N,"Health, Illness, and the Human Condition",3
BIOET 220N,"Ethics, Society, and Science Fiction",3
BIOET 401Q,"Science, Ethics, Policy, and Law",3
BIOL 169N,What it means to be human,3
CAMS 12N,Lands of the Bible,3
CAS 83,First-Year Seminar in Communication Arts and Sciences,3
CAS 101N,Introduction to Human Communication,3
CAS 162N,Communicating Care,3
CAS 170N,What is Information?,3
CAS 175N,Persuasion and Propaganda,3
CAS 182N,Communication and Sport,3
CAS 203,Interpersonal Communication,3
CAS 208N,Introduction to Managing Conflict and Bargaining,3
CAS 220,Persuasion,3
CAS 222N,Foundations: Civic and Community Engagement,3
CAS 232N,"Identity, Citizenship, and the Rhetoric of American Horror Film",3
CAS 250,Small Group Communication,3
CAS 252,Business and Professional Communication,3
CAS 253,Health Communication,3
CAS 271N,Intercultural Communication,3
CAS 272N,Political Communication and Technology,3
CAS 283,Communication and Information Technology I,3
CAS 303,Communication Theory,3
CAS 303H,Introduction to Communication Theory- Honors,3
CAS 304,Quantitative Methods for Communication Research,3
CAS 304H,Communication Research Methods (Honors),3
CAS 383N,Culture and Technology,3
CAS 390,Qualitative Research Methods,3
CAS 403,Interpersonal Communication Theory and Research,3
CAS 404,Conflict Resolution and Negotiation,3
CAS 452,Organizational Communication Theory and Research,3
CAS 452W,Organizational Communication Theory and Research,3
CC 200,Introduction to Corporate Communication,3
CED 102N,"Wicked Problems Like Inequality, Sustainability & Climate Change: What's the Right Thing to Do?",3
CED 109N,Gentrification in Everyday Life,3
CED 152,Community Development Concepts and Practice,3
CED 155,"Science, Technology and Public Policy",3
CED 400N,Exploring Indigenous Ways of Knowing in Great Lakes Region: Lecture,3
CI 185,Principles of Social Justice in Education,3
CI 304N,"Food, Farms & Justice: What's Education Got To Do With Them?",3
CIVCM 211N,Foundations: Civic and Community Engagement,3
CMAS 258N,Introduction to Child Maltreatment and Advocacy Studies,3
CMLIT 133N,Global Satire and Modern Politics,3
COMM 20N,Critical Media Literacy,3
COMM 100N,The Mass Media and Society,3
COMM 101N,Understanding and Enhancing Creativity,3
COMM 118,Introduction to Media Effects,3
COMM 175N,Mental Illness and the Movies,3
COMM 180,Survey of Electronic Media and Telecommunications,3
COMM 190,Gaming and Interactive Media,3
COMM 205,"Gender, Diversity and the Media",3
COMM 208N,Visual Representations of the Middle East in the US and Middle East,3
COMM 234N,Digital Cultures,3
COMM 290N,Cinema and Globalization,3
CRIM 12,Criminology,3
