AIR 352,Leading People and Effective Communication II,3
BE 391,Communication Skills for BE and BRS Students,2
BE 392,Leadership Skills for BE and BRS Students,2
BIOL 403,Biological Writing and Communication for Research,3
BMB 491,Undergraduate Research in Cellular Dynamics II: Communicating Scientific Findings,3
BRS 391,Communication Skills for BE and BRS Students,2
BRS 392,Leadership Skills for BE and BRS Students,2
CAS 100,Effective Speech,3
CAS 100A,Effective Speech,3
CAS 100B,Effective Speech,3
CAS 100C,Effective Speech,3
CAS 100S,Effective Speech,3
CAS 137H,Rhetoric and Civic Life I,3
CAS 138T,Rhetoric and Civic Life II,3
EMSC 100S,Earth and Mineral Sciences First-Year Seminar,3
ENGL 15,Rhetoric and Composition,3
ENGL 15A,Rhetoric and Composition,3
ENGL 15E,Rhetoric and Composition Enhanced,3
ENGL 15S,Rhetoric and Composition,3
ENGL 30H,Honors Rhetoric and Composition,3
ENGL 30T,Honors Freshman Composition First-Year Seminar,3
ENGL 137H,Rhetoric and Civic Life I,3
ENGL 138T,Rhetoric and Civic Life II,3
ENGL 202A,Effective Writing: Writing in the Social Sciences,3
ENGL 202B,Effective Writing: Writing in the Humanities,3
ENGL 202C,Effective Writing: Technical Writing,3
ENGL 202D,Effective Writing: Business Writing,3
ENGL 202H,Effective Writing: Honors,3
ESL 15,ESL Composition for American Academic Communication II,3
GEOSC 435,GEOSCHOLARSHIP,3
LA 101,Honors Rhetoric and Civic Life,4
